id,title,year,genre,country,age,race,gender
tt0120338,Titanic,1997,"Drama, Romance","United States, Mexico",26,Woman,white
tt2294629,Frozen,2013,"Animation, Adventure, Comedy",United States,36,Man,asian
tt2294629,Frozen,2013,"Animation, Adventure, Comedy",United States,38,Woman,asian
tt2294629,Frozen,2013,"Animation, Adventure, Comedy",United States,31,Woman,asian
tt4154664,Captain Marvel,2019,"Action, Adventure, Sci-Fi","United States, Australia",31,Woman,white
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi","United States, China",33,Man,asian
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi","United States, China",39,Man,asian
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy","United States, Japan",36,Man,white
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy","United States, Japan",29,Man,asian
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy","United States, Japan",36,Man,white
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy","United States, Japan",41,Man,white
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy","United Kingdom, United States",30,Man,white
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy","United Kingdom, United States",32,Man,asian
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy","United Kingdom, United States",31,Man,white
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,23,Man,white
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,32,Man,black
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,39,Man,white
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,33,Man,white
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,33,Man,white
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,44,Man,white
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",United States,35,Man,white
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",United States,32,Woman,white
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",United States,36,Man,white
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",United States,36,Man,white
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",United States,36,Man,white
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","United Kingdom, United States",30,Man,asian
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","United Kingdom, United States",31,Woman,white
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","United Kingdom, United States",43,Man,middle eastern
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","United Kingdom, United States",45,Man,white
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","United Kingdom, United States",47,Man,asian
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",United States,32,Man,white
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",United States,34,Man,white
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",United States,31,Man,asian
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",United States,29,Woman,middle eastern
